Date,Total,New,7Day,per10000
20201123,12333452,157531,171028,3762.8
20201122,12175921,147840,170217,3714.7
20201121,12028081,184591,168815,3669.6
20201120,11843490,192673,164850,3613.3
20201119,11650817,185095,163230,3554.5
20201118,11465722,165087,159392,3498
20201117,11300635,164382,156380,3447.7
20201116,11136253,151855,152438,3397.5
20201115,10984398,138025,148381,3351.2
20201114,10846373,156838,143705,3309.1
20201113,10689535,181330,134751,3261.2
20201112,10508205,158230,127969,3205.9
20201111,10349975,144000,122291,3157.6
20201110,10205975,136789,117069,3113.7
20201109,10069186,123455,110214,3072
20201108,9945731,105294,104951,3034.3
20201107,9840437,94164,99872,3002.2
20201106,9746273,133854,99134,2973.5
20201105,9612419,118482,94323,2932.6
20201104,9493937,107447,90329,2896.5
20201103,9386490,88808,86782,2863.7
20201102,9297682,86608,84485,2836.6
20201101,9211074,69742,81252,2810.2
20201031,9141332,89002,80324,2788.9
20201030,9052330,100177,79603,2761.8
20201029,8952153,90524,77227,2731.2
20201028,8861629,82615,74957,2703.6
20201027,8779014,72731,72290,2678.4
20201026,8706283,63977,70585,2656.2
20201025,8642306,63243,70080,2636.7
20201024,8579063,83958,67777,2617.4
20201023,8495105,83546,63441,2591.7
20201022,8411559,74632,61573,2566.3
20201021,8336927,63945,60013,2543.5
20201020,8272982,60798,59483,2524
20201019,8212184,60443,57625,2505.4
20201018,8151741,47119,55689,2487
20201017,8104622,53610,55522,2472.6
20201016,8051012,70466,55529,2456.3
20201015,7980546,63710,53845,2434.8
20201014,7916836,60238,52656,2415.3
20201013,7856598,47791,51671,2396.9
20201012,7808807,46893,50566,2382.4
20201011,7761914,45949,49568,2368.1
20201010,7715965,53660,48249,2354
20201009,7662305,58677,47654,2337.7
20201008,7603628,55384,46474,2319.8
20201007,7548244,53348,45320,2302.9
20201006,7494896,40052,44201,2286.6
20201005,7454844,39909,44071,2274.4
20201004,7414935,36719,43248,2262.2
20201003,7378216,49490,43215,2251
20201002,7328726,50421,43277,2235.9
20201001,7278305,47304,42742,2220.5
20200930,7231001,45515,42091,2206.1
20200929,7185486,39141,41534,2192.2
20200928,7146345,34151,43065,2180.3
20200927,7112194,36488,43837,2169.8
20200926,7075706,49922,43970,2158.7
20200925,7025784,46674,42915,2143.5
20200924,6979110,42749,43284,2129.2
20200923,6936361,41616,43495,2116.2
20200922,6894745,49860,43573,2103.5
20200921,6844885,39554,41421,2088.3
20200920,6805331,37415,40698,2076.2
20200919,6767916,42543,40421,2064.8
20200918,6725373,49254,40133,2051.8
20200917,6676119,44228,39747,2036.8
20200916,6631891,42163,38845,2023.3
20200915,6589728,34794,37579,2010.4
20200914,6554934,34494,35968,1999.8
20200913,6520440,35477,34800,1989.3
20200912,6484963,40523,34637,1978.5
20200911,6444440,46552,35344,1966.1
20200910,6397888,37918,35791,1951.9
20200909,6359970,33296,36814,1940.3
20200908,6326674,23521,37797,1930.2
20200907,6303153,26318,40693,1923
20200906,6276835,34335,41571,1915
20200905,6242500,45468,42170,1904.5
20200904,6197032,49686,41893,1890.6
20200903,6147346,45074,41247,1875.5
20200902,6102272,40178,41556,1861.7
20200901,6062094,43795,42517,1849.5
20200831,6018299,32466,41638,1836.1
20200830,5985833,38524,41769,1826.2
20200829,5947309,43529,41794,1814.4
20200828,5903780,45168,42069,1801.2
20200827,5858612,47236,42383,1787.4
20200826,5811376,46902,42086,1773
20200825,5764474,37647,42070,1758.7
20200824,5726827,33377,42397,1747.2
20200823,5693450,38704,43197,1737
20200822,5654746,45450,43676,1725.2
20200821,5609296,47366,45015,1711.3
20200820,5561930,45156,46359,1696.9
20200819,5516774,46796,47511,1683.1
20200818,5469978,39936,48945,1668.8
20200817,5430042,38971,51224,1656.6
20200816,5391071,42061,51462,1644.7
20200815,5349010,54825,52434,1631.9
20200814,5294185,56770,52396,1615.2
20200813,5237415,53224,53175,1597.9
20200812,5184191,56828,53594,1581.6
20200811,5127363,55895,53169,1564.3
20200810,5071468,40637,52373,1547.2
20200809,5030831,48865,53712,1534.8
20200808,4981966,54554,53554,1519.9
20200807,4927412,62228,54190,1503.3
20200806,4865184,56151,55141,1484.3
20200805,4809033,53854,56880,1467.2
20200804,4755179,50322,58660,1450.7
20200803,4704857,50013,60068,1435.4
20200802,4654844,47758,60740,1420.1
20200801,4607086,59009,62740,1405.6
20200731,4548077,68880,63543,1387.6
20200730,4479197,68330,64429,1366.5
20200729,4410867,66314,65029,1345.7
20200728,4344553,60174,65614,1325.5
20200727,4284379,54715,66074,1307.1
20200726,4229664,61762,66561,1290.4
20200725,4167902,64631,66756,1271.6
20200724,4103271,75081,67187,1251.9
20200723,4028190,72526,67184,1229
20200722,3955664,70415,67154,1206.8
20200721,3885249,63389,66760,1185.3
20200720,3821860,58124,66446,1166
20200719,3763736,63127,66574,1148.3
20200718,3700609,67648,66202,1129
20200717,3632961,75062,65526,1108.4
20200716,3557899,72315,64297,1085.5
20200715,3485584,67656,62434,1063.4
20200714,3417928,61193,62037,1042.8
20200713,3356735,59023,60491,1024.1
20200712,3297712,60518,58698,1006.1
20200711,3237194,62915,56377,987.6
20200710,3174279,66464,54837,968.4
20200709,3107815,59273,53592,948.2
20200708,3048542,64873,52671,930.1
20200707,2983669,50373,51182,910.3
20200706,2933296,46474,50236,894.9
20200705,2886822,44268,48725,880.7
20200704,2842554,52140,48260,867.2
20200703,2790414,57748,47195,851.3
20200702,2732666,52823,45343,833.7
20200701,2679843,54451,43602,817.6
20200630,2625392,43750,41226,801
20200629,2581642,35901,39897,787.6
20200628,2545741,41012,38583,776.7
20200627,2504729,44686,36667,764.2
20200626,2460043,44784,34915,750.5
20200625,2415259,40632,33142,736.9
20200624,2374627,37823,31332,724.5
20200623,2336804,34441,29213,712.9
20200622,2302363,26703,28382,702.4
20200621,2275660,27604,27237,694.3
20200620,2248056,32421,26426,685.9
20200619,2215635,32375,25435,676
20200618,2183260,27957,24021,666.1
20200617,2155303,22990,23150,657.6
20200616,2132313,28625,22804,650.5
20200615,2103688,18690,21204,641.8
20200614,2084998,21930,21057,636.1
20200613,2063068,25483,20473,629.4
20200612,2037585,22478,20990,621.6
20200611,2015107,21860,21931,614.8
20200610,1993247,20562,21743,608.1
20200609,1972685,17429,20907,601.8
20200608,1955256,17661,21986,596.5
20200607,1937595,17844,21610,591.1
20200606,1919751,29101,22803,585.7
20200605,1890650,29061,22032,576.8
20200604,1861589,20548,20489,567.9
20200603,1841041,14707,20605,561.7
20200602,1826334,24980,21324,557.2
20200601,1801354,15033,20092,549.6
20200531,1785677,26197,21511,544.8
20200530,1759480,23698,19963,536.8
20200529,1736426,18265,20370,529.8
20200528,1718161,21361,21229,524.2
20200527,1696800,19737,21099,517.7
20200526,1676427,16354,21521,511.5
20200525,1660073,24967,22543,506.5
20200524,1635106,15365,22505,498.9
20200523,1619741,26544,22226,494.2
20200522,1593833,24280,23014,486.3
20200521,1568918,20448,22799,478.7
20200520,1549105,22694,23734,472.6
20200519,1526411,23504,23466,465.7
20200518,1502907,24705,23180,458.5
20200517,1477573,13411,22158,450.8
20200516,1464791,32062,23710,446.9
20200515,1432729,22769,22985,437.1
20200514,1409334,26995,23349,430
20200513,1382339,20819,23935,421.7
20200512,1362146,21501,24242,415.6
20200511,1340645,17549,24383,409
20200510,1323096,24279,24635,403.7
20200509,1298817,26984,25428,396.3
20200508,1271833,25316,25798,388
20200507,1245900,31099,26411,380.1
20200506,1215418,22966,26475,370.8
20200505,1192452,22488,26859,363.8
20200504,1169964,19318,27037,356.9
